English name,scientific name,order,family
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas)
Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous)
Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous)
Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous)
Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous)
Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous)
Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous)
White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous)
Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous)
Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous)
Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous)
Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous)
Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous)
Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous)
Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous)
Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous)
Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous)
Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous)
Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous)
Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous)
Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous)
Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous)
Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous)
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous)
Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous)
Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous)
Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous)
Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous)
Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous)
Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous)
Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous)
Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous)
Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous)
Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous)
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous)
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous)
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous)
Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous)
Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous)
Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous)
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous)
Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous)
Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous)
Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous)
Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous)
Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu)
Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu)
Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu)
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis)
Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis)
North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis)
Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis)
Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis)
Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers)
Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers)
Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers)
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
